OP Company Symbol,Yahoo Company Symbol
AES,AES
AMR,AMR
BABA,BABA
HRB.N,HRB
MO,MO
T,T
BNTX US,BNTX
BRSL,BRSL
BMY,BMY
BATS,BATS.L
BTI,BTI
CVX,CVX
STZ.N,STZ
CVS,CVS
DAC,DAC
EOAN,EOAN.DE
ENB,ENB
XOM,XOM
FIA1S,FIA1S.HE
FORTUM,FORTUM.HE
GIS US,GIS
GILD,GILD
GSK,GSK.L
IMB,IMB.L
JD,JD
KHC,KHC
MANTA,MANTA.HE
MRK,MRK
MRNA,MRNA
NE,NE
NOVO B,NOVO-B.CO
OXY US,OXY
PLTR,PLTR
PDD US,PDD
PFE US,PFE
PM,PM
SAGCV,SAGCV.HE
SAMPO,SAMPO.HE
SIRI,SIRI
T CN,T.TO
TCEHY,TCEHY
UNH US,UNH
USB,USB
VZ US,VZ
VOD,VOD.L
VODI,VODI
HCC,HCC
