yahoo_ticker_symbol,op_symbol,isin
AES,AES,US00130H1059
AMR,AMR,US0207641061
ELISA.HE,,FI0009007884
MO,MO,US02209S1033
T,T,US00206R1023
BNTX,BNTX US,US09075V1026
BRSL,BRSL,GB00BVG7F061
BMY,BMY,US1101221083
BATS.L,BATS,GB0002875804
BTI,BTI,US1104481072
CVX,CVX,US1667641005
STZ,STZ.N,US21036P1084
CVS,CVS,US1266501006
DAC,DAC,MHY1968P1218
EOAN.DE,EOAN,DE000ENAG999
ENB,ENB,CA29250N1050
XOM,XOM,US30233Q1085
FIA1S.HE,FIA1S,FI0009003230
FORTUM.HE,FORTUM,FI0009007132
GIS,GIS US,US3703341046
GILD,GILD,US3755581036
GSK.L,GSK,GB00BN7SWP63
IMB.L,IMB,GB0004544929
JD,JD,US47215P1066
KHC,KHC,US5007541064
MANTA.HE,MANTA,FI4000552526
MRK,MRK,US58933Y1055
MRNA,MRNA,US60770K1079
NE,NE,GB00BMXNWH07
NOVO-B.CO,NOVO B,DK0062498333
OXY,OXY US,US6745991058
PLTR,PLTR,US69608A1088
PDD,PDD US,US7223041028
PFE,PFE US,US7170811035
PM,PM,US7181721090
SAGCV.HE,SAGCV,FI0009800551
SAMPO.HE,SAMPO,FI4000552500
SIRI,SIRI,US8299331004
T.TO,T CN,CA87971M1032
TME,,US88034P1093
TCEHY,TCEHY,US88032Q1094
UNH,UNH,US91324P1021
USB,USB,US9029733048
VZ,VZ US,US92343V1044
VOD.L,VOD,GB00BH4HKS39
VODI,VODI,INE669E01016
HCC,HCC,US93627C1018
BABA,BABA,US01609W1027
HRB,HRB.N,US0936711052
GOOGL,GOOGL,US02079K3059
